,Date,Pageviews,Clicks,Enrollments,Payments,,daily gross conversion,daily retention,daily net conversion
,"Sat, Oct 11",7723,687,134,70,,0.1950509461,0.5223880597,0.1018922853
,"Sun, Oct 12",9102,779,147,70,,0.188703466,0.4761904762,0.08985879332
,"Mon, Oct 13",10511,909,167,95,,0.1837183718,0.5688622754,0.104510451
,"Tue, Oct 14",9871,836,156,105,,0.1866028708,0.6730769231,0.1255980861
,"Wed, Oct 15",10014,837,163,64,,0.1947431302,0.3926380368,0.07646356033
,"Thu, Oct 16",9670,823,138,82,,0.1676792224,0.5942028986,0.09963547995
,"Fri, Oct 17",9008,748,146,76,,0.1951871658,0.5205479452,0.1016042781
,"Sat, Oct 18",7434,632,110,70,,0.1740506329,0.6363636364,0.1107594937
,"Sun, Oct 19",8459,691,131,60,,0.1895803184,0.4580152672,0.08683068017
,"Mon, Oct 20",10667,861,165,97,,0.1916376307,0.5878787879,0.112659698
,"Tue, Oct 21",10660,867,196,105,,0.2260668973,0.5357142857,0.1211072664
,"Wed, Oct 22",9947,838,162,92,,0.1933174224,0.5679012346,0.1097852029
,"Thu, Oct 23",8324,665,127,56,,0.1909774436,0.4409448819,0.08421052632
,"Fri, Oct 24",9434,673,220,122,,0.3268945022,0.5545454545,0.1812778603
,"Sat, Oct 25",8687,691,176,128,,0.2547033285,0.7272727273,0.1852387844
,"Sun, Oct 26",8896,708,161,104,,0.2274011299,0.6459627329,0.1468926554
,"Mon, Oct 27",9535,759,233,124,,0.3069828722,0.5321888412,0.163372859
,"Tue, Oct 28",9363,736,154,91,,0.2092391304,0.5909090909,0.1236413043
,"Wed, Oct 29",9327,739,196,86,,0.2652232747,0.4387755102,0.1163734777
,"Thu, Oct 30",9345,734,167,75,,0.227520436,0.4491017964,0.1021798365
,"Fri, Oct 31",8890,706,174,101,,0.2464589235,0.5804597701,0.1430594901
,"Sat, Nov 1",8460,681,156,93,,0.2290748899,0.5961538462,0.1365638767
,"Sun, Nov 2",8836,693,206,67,,0.2972582973,0.3252427184,0.09668109668
,"Mon, Nov 3",9437,788,,,,,,
,"Tue, Nov 4",9420,781,,,,,,
,"Wed, Nov 5",9570,805,,,,,,
,"Thu, Nov 6",9921,830,,,,,,
,"Fri, Nov 7",9424,781,,,,,,
,"Sat, Nov 8",9010,756,,,,,,
,"Sun, Nov 9",9656,825,,,,,,
,"Mon, Nov 10",10419,874,,,,,,
,"Tue, Nov 11",9880,830,,,,,,
,"Wed, Nov 12",10134,801,,,,,,
,"Thu, Nov 13",9717,814,,,,,,
,"Fri, Nov 14",9192,735,,,,,,
,"Sat, Nov 15",8630,743,,,,,,
,"Sun, Nov 16",8970,722,,,,,,
,,,,,,,,,
Total (24 day),,212163,17293,3785,2033,,,,
Total (all),,345543,28378,3785,2033,,,,
,,,,,,,,,
,,,,,,,,,
Gross Conversion,,,,,,0.2188746892,,,
Net Conversion,,,,,,0.1175620193,,,
