,Date,Pageviews,Clicks,Enrollments,Payments,,daily gross conversion,daily retention,daily net conversion
,"Sat, Oct 11",7716,686,105,34,,0.1530612245,0.3238095238,0.04956268222
,"Sun, Oct 12",9288,785,116,91,,0.1477707006,0.7844827586,0.1159235669
,"Mon, Oct 13",10480,884,145,79,,0.1640271493,0.5448275862,0.08936651584
,"Tue, Oct 14",9867,827,138,92,,0.1668681983,0.6666666667,0.1112454655
,"Wed, Oct 15",9793,832,140,94,,0.1682692308,0.6714285714,0.1129807692
,"Thu, Oct 16",9500,788,129,61,,0.1637055838,0.4728682171,0.07741116751
,"Fri, Oct 17",9088,780,127,44,,0.1628205128,0.3464566929,0.05641025641
,"Sat, Oct 18",7664,652,94,62,,0.1441717791,0.6595744681,0.09509202454
,"Sun, Oct 19",8434,697,120,77,,0.1721664275,0.6416666667,0.1104734577
,"Mon, Oct 20",10496,860,153,98,,0.1779069767,0.6405228758,0.1139534884
,"Tue, Oct 21",10551,864,143,71,,0.1655092593,0.4965034965,0.08217592593
,"Wed, Oct 22",9737,801,128,70,,0.1598002497,0.546875,0.08739076155
,"Thu, Oct 23",8176,642,122,68,,0.1900311526,0.5573770492,0.1059190031
,"Fri, Oct 24",9402,697,194,94,,0.2783357245,0.4845360825,0.1348637016
,"Sat, Oct 25",8669,669,127,81,,0.1898355755,0.6377952756,0.1210762332
,"Sun, Oct 26",8881,693,153,101,,0.2207792208,0.660130719,0.1457431457
,"Mon, Oct 27",9655,771,213,119,,0.2762645914,0.558685446,0.1543450065
,"Tue, Oct 28",9396,736,162,120,,0.2201086957,0.7407407407,0.1630434783
,"Wed, Oct 29",9262,727,201,96,,0.2764786795,0.4776119403,0.1320495186
,"Thu, Oct 30",9308,728,207,67,,0.2843406593,0.3236714976,0.09203296703
,"Fri, Oct 31",8715,722,182,123,,0.2520775623,0.6758241758,0.1703601108
,"Sat, Nov 1",8448,695,142,100,,0.2043165468,0.7042253521,0.1438848921
,"Sun, Nov 2",8836,724,182,103,,0.2513812155,0.5659340659,0.1422651934
,"Mon, Nov 3",9359,789,,,,,,
,"Tue, Nov 4",9427,743,,,,,,
,"Wed, Nov 5",9633,808,,,,,,
,"Thu, Nov 6",9842,831,,,,,,
,"Fri, Nov 7",9272,767,,,,,,
,"Sat, Nov 8",8969,760,,,,,,
,"Sun, Nov 9",9697,850,,,,,,
,"Mon, Nov 10",10445,851,,,,,,
,"Tue, Nov 11",9931,831,,,,,,
,"Wed, Nov 12",10042,802,,,,,,
,"Thu, Nov 13",9721,829,,,,,,
,"Fri, Nov 14",9304,770,,,,,,
,"Sat, Nov 15",8668,724,,,,,,
,"Sun, Nov 16",8988,710,,,,,,
,,,,,,,,,
Subtotal (24days),,211362,17260,3423,1945,,,,
Totals,,344660,28325,3423,1945,,,,
,,,,,,,,,
Gross Conversion,,,,,,0.1983198146,,,
Net Conversion,,,,,,0.1126882966,,,
